id;the_geom;type;flats;height;levels
buildings.1;MULTIPOLYGON (((165976.7707794697 5392002.939781096, 166001.0606923608 5392012.642550772, 166021.71045790295 5391965.786864619, 165998.05506610937 5391956.084144034, 165976.7707794697 5392002.939781096)));tennis;1;0.0;0
buildings.2;MULTIPOLYGON (((165954.1061311442 5391847.635439839, 165994.28133537146 5391879.875154146, 165999.62467092957 5391873.166213872, 166013.67319066764 5391884.434779941, 166034.23390061717 5391858.642986823, 166020.51933935145 5391847.635439839, 166026.10757778928 5391840.619478787, 165985.5984150896 5391808.118914525, 165954.1061311442 5391847.635439839)));multi;1;0.0;0
buildings.3;MULTIPOLYGON (((165946.45848212665 5392045.865402399, 165970.99329789754 5392057.256999112, 165988.53724964656 5392011.184064175, 165965.90599716824 5392001.558058397, 165946.45848212665 5392045.865402399)));tennis;1;0.0;0
buildings.4;MULTIPOLYGON (((168638.76489475832 5391936.279571853, 168732.52930185347 5391974.36886804, 168795.614057286 5391828.414482611, 168700.6362677412 5391786.91761593, 168638.76489475832 5391936.279571853)));soccer;1;0.0;0
buildings.5;MULTIPOLYGON (((168761.62821674685 5391988.140006427, 168856.7173257825 5392028.424925685, 168918.677754358 5391880.780938213, 168824.6795763322 5391839.068906052, 168761.62821674685 5391988.140006427)));soccer;1;0.0;0
buildings.6;MULTIPOLYGON (((168843.69294535965 5392146.6093622465, 168926.9710564221 5392180.185808128, 168978.2336819324 5392052.374884519, 168897.74969008885 5392018.829606994, 168843.69294535965 5392146.6093622465)));soccer;1;0.0;0
buildings.7;MULTIPOLYGON (((168804.58640824398 5391543.344121728, 168899.69778117773 5391584.671027537, 168978.80141133547 5391398.440428419, 168883.99060102683 5391358.84906247, 168804.58640824398 5391543.344121728)));rugby_league;1;0.0;0
buildings.8;MULTIPOLYGON (((168928.496133446 5391596.768239907, 169021.9043181706 5391638.126087835, 169102.31038637058 5391453.214648385, 169007.05429809878 5391412.210710524, 168928.496133446 5391596.768239907)));rugby_league;1;0.0;0
buildings.9;MULTIPOLYGON (((167864.50444044385 5391954.978771445, 167904.02285967546 5392096.78994005, 167997.13048177495 5392068.111269392, 167955.78642289437 5391928.695506586, 167864.50444044385 5391954.978771445)));soccer;1;0.0;0
buildings.10;MULTIPOLYGON (((167992.28808392544 5391955.96132485, 168098.53140593853 5392021.746582826, 168139.1630200781 5391956.11484883, 168032.90856611595 5391890.330057022, 167992.28808392544 5391955.96132485)));soccer;1;0.0;0
