id;the_geom;type;crossing
nodes.1;POINT (166968.72762997946 5390477.873650728);traffic_signals;
nodes.2;POINT (167840.43716653434 5391134.260685658);crossing;
nodes.3;POINT (167850.45592070578 5391141.9362067515);crossing;
nodes.4;POINT (166212.79036384955 5391924.58107702);mini_roundabout;
nodes.5;POINT (166437.82271448823 5390497.506255125);crossing;
nodes.6;POINT (166601.16180332916 5391944.969014589);turning_circle;
nodes.7;POINT (165291.98893185487 5390677.74748096);turning_circle;
nodes.8;POINT (165442.7934460325 5390379.695903081);turning_circle;
nodes.9;POINT (167866.2632883984 5390369.472951651);turning_circle;
nodes.10;POINT (167132.79029551058 5391440.94875652);turning_circle;
nodes.11;POINT (167313.04994695217 5391452.769453028);turning_circle;
nodes.12;POINT (170107.68123552095 5390287.996738989);emergency_bay;
nodes.13;POINT (170116.67585037707 5390316.623849605);emergency_bay;
nodes.14;POINT (169416.85473955606 5391637.941865382);emergency_bay;
nodes.15;POINT (169406.90277707917 5391593.12986346);emergency_bay;
nodes.16;POINT (167804.6479502443 5389804.5572983315);turning_circle;
nodes.17;POINT (167576.08677174756 5389940.349414213);turning_circle;
nodes.18;POINT (167978.5289948634 5390390.962652409);turning_circle;
nodes.19;POINT (168215.3946073733 5390316.393604396);mini_roundabout;
nodes.20;POINT (168204.74133210443 5390462.170667151);turning_circle;
nodes.21;POINT (168148.34687806852 5390470.797327367);turning_circle;
nodes.22;POINT (167118.5080048418 5392222.866605489);turning_circle;
nodes.23;POINT (168257.89638895818 5392337.721915074);turning_circle;
nodes.24;POINT (167757.4373541989 5392015.728402118);turning_circle;
nodes.25;POINT (166010.73435611068 5391911.1784888925);turning_circle;
nodes.26;POINT (166479.90148200805 5389860.5500083165);turning_circle;
nodes.27;POINT (167166.79839994796 5389771.434577115);turning_circle;
nodes.28;POINT (166753.62497791962 5390972.646390434);crossing;
nodes.29;POINT (166358.50757729795 5391923.398946471);crossing;traffic_signals
nodes.30;POINT (166752.37819962273 5391014.968554454);crossing;
nodes.31;POINT (168174.72959738655 5391532.551873194);turning_circle;
nodes.32;POINT (167745.65975207294 5391292.761486625);crossing;
nodes.33;POINT (167760.0756261307 5391301.342866465);crossing;
nodes.34;POINT (167769.62683844074 5391355.4564019125);crossing;
nodes.35;POINT (168070.80172078195 5391535.959950323);crossing;
nodes.36;POINT (168129.4336965828 5391318.72056878);crossing;
nodes.37;POINT (167626.99317488732 5391207.899897212);turning_circle;
nodes.38;POINT (166801.3476436227 5391285.316109841);turning_circle;
nodes.39;POINT (167936.2498522601 5391454.841914358);crossing;
nodes.40;POINT (166941.95529244366 5390606.476408415);crossing;
nodes.41;POINT (166926.19245254737 5390585.308560329);crossing;
nodes.42;POINT (169458.5661527563 5390387.877342306);mini_roundabout;
nodes.43;POINT (167095.78769677092 5390914.866279949);crossing;uncontrolled
nodes.44;POINT (166559.56170961968 5391534.701110876);traffic_signals;
nodes.45;POINT (167948.73989912716 5390945.966794099);turning_circle;
nodes.46;POINT (168640.02280500426 5390607.27461683);turning_circle;
nodes.47;POINT (168534.8926778991 5390534.83748319);turning_circle;
nodes.48;POINT (167699.13933687046 5391385.100007416);crossing;
nodes.49;POINT (167774.1798056142 5391804.050594956);turning_circle;
nodes.50;POINT (167719.9449496997 5392231.755904219);turning_circle;
nodes.51;POINT (168359.6201396451 5392327.281860165);turning_circle;
nodes.52;POINT (167498.92010072968 5391770.429456365);crossing;uncontrolled
nodes.53;POINT (168486.8026578764 5391305.687288987);turning_circle;
nodes.54;POINT (167119.5544080553 5391958.279537201);turning_circle;
nodes.55;POINT (166394.10755045363 5391868.898286435);traffic_signals;
nodes.56;POINT (166368.92708163624 5391928.710858939);crossing;traffic_signals
nodes.57;POINT (167284.57442120722 5391936.601971527);turning_circle;
nodes.58;POINT (167296.3074955368 5391985.6989670275);turning_circle;
nodes.59;POINT (167395.63787717166 5391825.482215487);turning_circle;
nodes.60;POINT (167340.92434744677 5391918.301969742);turning_circle;
nodes.61;POINT (167198.02351711542 5391872.644237032);turning_circle;
nodes.62;POINT (166355.93609706065 5391928.265640726);traffic_signals;
nodes.63;POINT (166410.95018941068 5391922.247520762);traffic_signals;
nodes.64;POINT (166541.45002846766 5391511.397260355);traffic_signals;
nodes.65;POINT (166530.41826693006 5391536.957810979);traffic_signals;
nodes.66;POINT (166528.4924397393 5391515.92600142);traffic_signals;
nodes.67;POINT (166749.39483726947 5391023.027747973);traffic_signals;
nodes.68;POINT (166852.12046337352 5390765.658947581);traffic_signals;
nodes.69;POINT (166845.8643079909 5390742.218878313);traffic_signals;
nodes.70;POINT (166866.75897641282 5390732.348585297);traffic_signals;
nodes.71;POINT (166747.04599601377 5391093.78009265);mini_roundabout;
nodes.72;POINT (166379.23526648368 5391934.160945707);crossing;traffic_signals
nodes.73;POINT (167080.48126678684 5390332.034942034);traffic_signals;
nodes.74;POINT (167057.05964592393 5390373.663439383);traffic_signals;
nodes.75;POINT (167670.70833892186 5389583.153035902);traffic_signals;
nodes.76;POINT (166979.40316914656 5390498.36585408);traffic_signals;
nodes.77;POINT (167662.93823846447 5389569.8612742);traffic_signals;
nodes.78;POINT (167610.88524456954 5389613.497002168);traffic_signals;
nodes.79;POINT (165394.58097456998 5390452.699770083);turning_circle;
nodes.80;POINT (167507.0909513539 5390342.395999663);crossing;
nodes.81;POINT (167501.81440749028 5390382.259317597);crossing;
nodes.82;POINT (166289.50062495522 5391283.50465825);turning_circle;
