id;the_geom;junction;type;lanes;maxspeed;oneway
roads.1;MULTILINESTRING ((166029.68093344374 5391691.243713534, 166036.01501246984 5391697.384499156));;residential;1;50.0;
roads.2;MULTILINESTRING ((166036.01501246984 5391697.384499156, 166029.68093344374 5391691.243713534));;residential;1;50.0;
roads.3;MULTILINESTRING ((166036.01501246984 5391697.384499156, 166070.80235334276 5391732.11071845, 166099.99032382877 5391762.123979282, 166112.62508603378 5391773.4231144395));;residential;1;50.0;
roads.4;MULTILINESTRING ((166112.62508603378 5391773.4231144395, 166099.99032382877 5391762.123979282, 166070.80235334276 5391732.11071845, 166036.01501246984 5391697.384499156));;residential;1;50.0;
roads.5;MULTILINESTRING ((166112.62508603378 5391773.4231144395, 166119.34878327773 5391779.640715072));;residential;1;50.0;
roads.6;MULTILINESTRING ((166119.34878327773 5391779.640715072, 166112.62508603378 5391773.4231144395));;residential;1;50.0;
roads.7;MULTILINESTRING ((166119.34878327773 5391779.640715072, 166143.69435591422 5391801.39467409));;residential;1;50.0;
roads.8;MULTILINESTRING ((166143.69435591422 5391801.39467409, 166119.34878327773 5391779.640715072));;residential;1;50.0;
roads.9;MULTILINESTRING ((166143.69435591422 5391801.39467409, 166150.41805315815 5391808.548774809));;residential;1;50.0;
roads.10;MULTILINESTRING ((166150.41805315815 5391808.548774809, 166143.69435591422 5391801.39467409));;residential;1;50.0;
roads.11;MULTILINESTRING ((166150.41805315815 5391808.548774809, 166159.802286232 5391819.095710199, 166172.68195131674 5391844.10443033));;residential;1;50.0;
roads.12;MULTILINESTRING ((166172.68195131674 5391844.10443033, 166159.802286232 5391819.095710199, 166150.41805315815 5391808.548774809));;residential;1;50.0;
roads.13;MULTILINESTRING ((166172.68195131674 5391844.10443033, 166198.9978789403 5391895.196733902, 166212.79036384955 5391924.58107702));;residential;1;50.0;
roads.14;MULTILINESTRING ((166212.79036384955 5391924.58107702, 166198.9978789403 5391895.196733902, 166172.68195131674 5391844.10443033));;residential;1;50.0;
roads.15;MULTILINESTRING ((166212.79036384955 5391924.58107702, 166252.5536859609 5391915.415731151, 166273.11439591044 5391909.689313632, 166280.69525323345 5391905.63630176));;residential;1;50.0;
roads.16;MULTILINESTRING ((166280.69525323345 5391905.63630176, 166273.11439591044 5391909.689313632, 166252.5536859609 5391915.415731151, 166212.79036384955 5391924.58107702));;residential;1;50.0;
roads.17;MULTILINESTRING ((166212.79036384955 5391924.58107702, 166163.84318374778 5391999.055605581));;residential;1;50.0;
roads.18;MULTILINESTRING ((166163.84318374778 5391999.055605581, 166212.79036384955 5391924.58107702));;residential;1;50.0;
